userId,score,tag_user_not_accepted_answer,acceptance_ratio,tag
7422,1,0,1.0,android
6605,2,1,0.6666666666666666,c#
14363,1,0,1.0,c#
14641,1,0,1.0,c#
9433,1,0,1.0,c#
33021,1,0,1.0,c#
1929,1,0,1.0,c#
13730,1,0,1.0,c#
42004,1,0,1.0,c#
855,1,0,1.0,c#
5512,1,1,0.5,c#
65823,1,0,1.0,c#
23622,1,0,1.0,c#
8057,1,0,1.0,c#
93344,1,0,1.0,c#
3762,1,2,0.3333333333333333,c#
7824,1,0,1.0,c#
113863,1,0,1.0,c#
153102,1,0,1.0,c#
91969,1,0,1.0,c#
44202,1,0,1.0,c#
44110,1,1,0.5,c#
9113,1,3,0.25,c#
174505,1,0,1.0,c#
51367,1,1,0.5,c#
902,1,0,1.0,c#
11982,1,0,1.0,c#
118878,1,1,0.5,c#
329526,1,0,1.0,c#
78905,1,0,1.0,c++
63202,1,0,1.0,c++
55400,1,0,1.0,concurrency
897,4,2,0.6666666666666666,database
30278,3,1,0.75,database
1204,3,5,0.375,database
20756,2,1,0.6666666666666666,database
13156,2,4,0.3333333333333333,database
60357,2,0,1.0,database
177980,2,6,0.25,database
209774,2,3,0.4,database
2359,1,0,1.0,database
5349,1,0,1.0,database
287,1,0,1.0,database
7575,1,0,1.0,database
471,1,0,1.0,database
12063,1,0,1.0,database
31234,1,0,1.0,database
20294,1,2,0.3333333333333333,database
34148,1,1,0.5,database
42004,1,0,1.0,database
49209,1,0,1.0,database
62633,1,0,1.0,database
65823,1,0,1.0,database
42132,1,0,1.0,database
8035,1,0,1.0,database
13866,1,0,1.0,database
25391,1,0,1.0,database
10422,1,0,1.0,database
14510,1,1,0.5,database
23622,1,0,1.0,database
57164,1,2,0.3333333333333333,database
53655,1,0,1.0,database
1093,1,2,0.3333333333333333,database
34183,1,1,0.5,database
51654,1,0,1.0,database
89521,1,0,1.0,database
110397,1,0,1.0,database
110712,1,0,1.0,database
32746,1,0,1.0,database
82539,1,0,1.0,database
104843,1,0,1.0,database
22685,1,3,0.25,database
36055,1,0,1.0,database
153102,1,0,1.0,database
7422,1,1,0.5,database
92198,1,0,1.0,database
40065,1,2,0.3333333333333333,database
36834,1,0,1.0,database
204276,1,0,1.0,database
61852,1,5,0.1666666666666666,database
3307,1,0,1.0,database
224391,1,1,0.5,database
126402,1,3,0.25,database
98444,1,0,1.0,database
44110,1,2,0.3333333333333333,database
1343,1,1,0.5,database
190064,1,1,0.5,database
111137,1,0,1.0,database
280991,1,0,1.0,database
199871,1,1,0.5,database
902,1,0,1.0,database
103719,1,0,1.0,database
304711,1,0,1.0,database
13421,1,0,1.0,database
244272,1,0,1.0,database
6644,1,0,1.0,database
174505,1,1,0.5,database
172693,1,6,0.1428571428571428,database
81495,1,0,1.0,database
332001,1,2,0.3333333333333333,database
226979,1,0,1.0,database
187465,1,0,1.0,database
90252,1,2,0.3333333333333333,database
353068,1,0,1.0,database
336912,1,0,1.0,database
25364,1,0,1.0,database
11982,1,1,0.5,database
209331,1,5,0.1666666666666666,database
14641,1,0,1.0,design-patterns
7824,1,0,1.0,design-patterns
61852,1,1,0.5,design-patterns
